"hotelName","hotelId","title","content"
"Baur au Lac",,"Fantastic Hotel in the centre of Zurich","Excellent service, fantastic rooms and very attentive staff. Always stay here in Zurich at the end of a trip. Rooms are well appointed and bed is fantastic. Breakfasts are the highlight for me. Close to all shops and restaurants and everything in walking distance"
"Baur au Lac",,"Wonderful stay at the Baur au Lac","We had a wonderful, romantic, stay at the Baur au Lac. The condition of the hotel and its rooms was fantastic and elegant. The service was top-notch and accommodating. The proximity to the tram lines made getting to and from the airport a breeze. We greatly appreciated the beautiful garden of the hotel, which was a nice private retreat from the bustle of the city."
"Baur au Lac",,"Very nice service","We had a wonderful stay in this hotel although we had requested a good view but unfortunately we were given two connecting rooms on the 1st floor with literally no view and due to the construction going on we were shown another room but was directly facing the construction site and had no shower room only a bathtub. plus the layout of our room was not practical for us. but nevertheless the service of the entire hotel staff was outstanding . the breakfast was good quality healthy breakfast and the ambience was superb in the beautiful garden. The driver who picked us up from the airport Khalid was a wonderful and extremely helpful gentleman. Honestly even the doorkeepers and the housekeeping staff all were super helpful . We loved our stay and will opt to come back hopefully to a"
"Baur au Lac",,"Horrible hotel","We recently stayed at this hotel; this was an anniversary stay. Almost everything about this hotel was a disappointment. The view from our room was of a green construction tarp, there was no sunlight in the room, we felt as if we were staying in a noisy box. TheTerrace Restaurant, their outdoor place, was frequently closed for special events, this was the only place to get drinks and cocktails and a light dinner. The breakfast was awful-the food was of poor quality, fake maple syrup for pancakes and fruit-not fresh but looking like it was out of a can. We did not enjoy our stay at this hotel, for over $900/nt we expected better. There are plenty of nice hotels on the water that are very nice. This hotel is NOT on or near the water and it is not a luxury hotel. We've traveled"
"Baur au Lac",,"Unforgettable 1st Zurich experience","Fantastic experience at this breathtaking hotel. The staff was remarkable and service was impeccable. Warm and friendly people in a beautiful environment! From arrival to departure, I was treated with respect and attentiveness. The decor is lovely and the hotel location is just ideal."
"Baur au Lac",,"Unmatched Location & Staff","Baur au Lac truly is a magical experience. It sits in the most beautiful location in perhaps the nicest city in the world, and has the most professional & helpful staff I have ever encountered. Taking a walk around it's facilities, and one can clearly see that they have spared no expense making this place the most all encompassing and beautiful place."
"Baur au Lac",,"TEW","Fabulous hotel with remarkable location and service. The rooms and facilities are beautiful. The staff extremely friendly and efficient. A wonderful hotel. The food is superb. Zurich is a great place to visit and I look Foy to returning."
"Baur au Lac",,"Simply the best","The Baur au Lac has a perfect location situated on a private park right next to the lake and within very short walking distance of Bahnhofstrasse. There is no need to talk about the rooms or the amenities, they are at a level that you would expect from a 5 Star Hotel. What really separates the Baur au Lac from other luxury hotels is the staff. Wherever I go in the hotel, I am always being greeted by name and with a smile. The service quality is simply unparalleled and I feel like coming home whenever I arrive at the Baur au Lac"
"Baur au Lac",,"Best place to be in Zürich , beautiful, charming and the bar outside de hotel is just so raffiné!! Thanks to all the sta","Best place in Zürich the staff and the situation is amazing, the food and services is just stunning!! The hotel is so charming it’s a very trendy place ! Definitely we will come back et thanks to all the staff to be so kind and so helpful with us !! See you soon Best Regards!"
"Baur au Lac",,"Another Great Experience at Baur au Lac","The Baur Au Lac is our choice in Zurich. Hotel’s location is great. The concierge service is terrific. The breakfast buffet is outstanding and the terrace is great for cocktails. Our room was large with a double vanity in the bathroom. Service throughout our stay was excellent. Cannot imagine staying anywhere else when in Zurich."
"Baur au Lac",,"Exceptional Swiss hospitality","Was delighted to return to the Baur au Lac. Had a wonderful dinner at their fine dining restaurant and another on their terrace. This hotel has both a perfect location and also a very passionate and dedicated long standing staff who care about every small detail. Special thanks to Andrea Kracht for making it an exceptional stay for my birthday."
"Baur au Lac",,"Most awful terrible experience","Wonder how can this hotel ever get a single good review . To begin with the hitel is under renovation so the entrance is make short at the back … no mention of this when you book or on their website . We continue our entry . Right from the word start they were just so cold . “Of course we will give you the best “ . Is how you are welcomed when you request for a hood room with a view. We are taken to our room and we Lok out to a construction building with net on it. And that’s the only view … there is a trolly out as a make shift for tea coffee In The room . The two chairs shown in the picture of . A deluxe double room are pushed away !! We request for a change of room we are taken to a smaller room with view of the canal form the balcony .. surely not acceptable !! "
"Baur au Lac",,"Absolute stunning stay!!!!","Whao... Where do I start. It was my honeymoon stay from South Africa and I was amazed about the professionalism and perfection guests are treated. The shuttle picked us up from the airport. One of our bags was left behind in Doha but the shuttle driver was very patient with us and so we left for the hotel. The check in was amazing. The staff treated us like royalty. We were upgraded with our Diners Club program and was allocated a Junior Suite... it was absolute perfection from door to door. The inside was a perfect setting for a romantic night and trsnquiled stay. The breakfast was fantastic. With so much to choose from (both hot and cold) The cheese selection was astonishing with ample to choose from. My wife was coughing during our arrival and so the concierge organised"
"Baur au Lac",,"Old World hospitality with Michelin star food and service.","This hotel is an institution. With a prominent position overlooking Lake Zurich, close to everything (10 min walk to train station); staying here was the right choice after a week long cruise in the Rhine. Employees excel at providing personalized services. Everything is luxurious in a world class way. From the linens to the old carpets. Still, immaculate and clean. What some people call outdated, I find refreshingly elegant and reliable. Not for Millennials in search for flavor of the month, techie venue. Quiet and proper. Decent gym with amazing views of Lake Zurich. Comfortable bed with water provided at all times. Only complain; no coffee machine. But room service was off charts. I think they have the best room service of any hotel I have visited. And their Michelin"
"Baur au Lac",,"Luxury and swiss quality service","First time at the Baur au Lac, the team made us feel at home all the way. We had a wonderful short stay and the rooms were beautifully designed just as expected from such a great luxury hotel. We will be back!"
"Baur au Lac",,"Luxury with a friendly touch","In Zurich for Christmas shopping, we enjoyed a wonderful short stay at this iconic hotel. The room was very spacious, with a sumptuous and comfortable bed, quiet and with pleasant lighting. Bathroom with great amenities. But overall, staff is the hotel greatest asset. Thank you very much"
"Baur au Lac",,"Wonderful Hotel","Great hotel. The decor is amazing. The details in the room are just perfect. Service is wonderful as well. But housekeeping is rude. I have long hair and tangles easily. I asked for extra conditioner and the lady said we already put one! I said know but I need two and she was thoroughly annoyed. Kind of weird attitude for such a high end hotel. The restaurants and lounges are superb. I would stay again but I would avoid interaction with housekeeping!!!!!! PS I love that the windows open."
"Baur au Lac",,"Sublime","This is the third time I have told TA that the BaL is the finest hotel in the world. It’s almost biblical. Did not Peter deny our Lord three times? Is not the Trinity made f Three? Thus, for the third time, I am going to utter the immortal phrase of which Man should be made aware. The Baur au Lac in Zurich is, was, and always will be the finest hotel in the world. Full Stop"
"Baur au Lac",,"Exceptional Property with a Fantastic Team","I enjoyed a fantastic stay at this beautiful property in October 2021. From check-in to check-out my stay was flawless. My room was beautifully appointed and very comfortable. The entire team was so welcoming and friendly and could not have been kinder. I would like to extend a special ""Thank you"" to the Concierge team who ensured my stay was so special. Thank you very much to Khalid, Imad, Jérémie and Roberto. I also enjoyed the wonderful dining options-both Baur's and Le Hall. I look forward to returning again soon to this exceptional property."
"Baur au Lac",,"VERY BAD","We were not satisfied with many things. A very stingy hotel, they didn't even put a dental kit, they brought it to our room after telling them how many times, but they didn't renew the cleaning time. The breakfast was bad, the prices were very high. Even though we stayed in the Junior Suite room, the room was very boring, there was no refreshment etc. We were not satisfied with anything except 1-2 waiters. We will definitely not choose this hotel again. and again they took money from our card for no reason."
"Baur au Lac",,"Palace Excellence At Its Best","The Baur au Lac is a family jewel for over 5 generations of hoteliers. All went through the famed Ecole Hôtelière de Lausanne, the Harvard of F&B post grad studies. And it shows. Everything is in the (many) details that differentiates an hotel from a palace. First the welcome at the entrance is a welcome. You do not wander around the lobby. You’re being accompanied to a quick check in and within minutes to your room. Rooms are of high quality, large, clear, modern & contemporary with beautiful marble bathrooms and every amenities you can think of. Several restaurants are waiting for your lunch or dinner, all highly rated. And they deserve their rating -thus I only had dinner at the Brasserie Baur- a very good business dinner. Do not miss the lobby bar, by the chimney, it is a"
"Baur au Lac",,"Heaven on Earth","This hotel is superlative in all we experienced during our stay. Le Hall - amazing set up. Baur's - French flavor and great food and drinks. Room - sumptuous. The team - made us feel we were the only ones. If you wish for a stay to remember just go to Baur au Lac."
"Baur au Lac",,"Disappointed Baur au lac","I booked a Room at Baur au Lac in Zurich with the souvenir of wonderful past trips to ZÜrich in an hotel that was legendary to me in my mind. Over the last 10 years I have travelled around the world and were lucky enough to enjoy the luxury of 5* hotel. To me it’s always an experience and a wonderful moment when you are far away from home. But sadly this trip came with a huge disappointment. The Baur à Lac doesn’t match t it’s 5* status. The lobby is old and sad, the elevator carpet need a change, the clientele as lost it’s glamorous vibe. The Michelin star restaurant opens only on Saturday, the one I ended having dîner is so disappointing that even Pizza Hut would have been better. Bref all is sad here. The biggest shock came 10min after my arrival. After having booked a room"
"Baur au Lac",,"Everything was great, and the staff was extremely service minded.","Everything was great, and the staff was extremely service minded. We loved the welcome at the hotel with a short guided tour. The room was really nice and clean. Room Service was fast. It was a pleasure to be at the hotel travelling with our dog. And finally, the breakfast included in the price was 'à la carte'. The service and food were great, ad the dishes were served at high speed. We will definitely come back."
"Baur au Lac",,"One of the best hotels we have stayed at.","Stayed at this hotel for the 1st time. It’s one of the most beautiful hotels we have stayed at with impeccable service. Location of the hotel is amazing walking distance to all the good restaurants and high end shopping. Special mention for one of the best concierge forget his name but he is from Lebanon."
"Baur au Lac",,"World class hotel in unbeatable location!","Stayed there for three days with the entire family. From arrival to departure, it was an absolute top-notch experience. The colleagues are extremely welcoming, accommodating and never mind to go out of their way. The rooms are very comfortable and immaculately cleaned. We wish we could have stayed longer and will definitely return - worth every cent."
"Baur au Lac",,"Great - But missing a few things","Fantastic legendary hotel in the very heart of Zurich. The grounds are beautiful and the service is excellent. PROS: Perfect location, very attentive service, beautiful renovated Junior Suites with amazing decoration, very nice Terrace restaurant with a chic lounge vibe, beautiful garden CONS: Lobby looks a bit dated, no Spa/pool and no state-of-the-art gym (small fitness room), no expresso/tea machine in room"
"Baur au Lac",,"The most beautiful Hotel in Zurich","Very nice hotel with a great ambiance and amazing staff. Coming back here time to time is a bless! The service is perfection and they accommodate every request. Special thank you to Lenka, Stefanie, Max and the charming italian server at Baur's -whose name I am missing- to make and maintain this place very unique!"
"Baur au Lac",,"Great great great","Fantastic stay! Great service, nice rooms, very friendly staff, nice location! The food is great , the breakfast is good. Call for very good offers for the room rates and combinations. We are extremely happy with our stay. The hotel restaurants are worth the experience "
"Baur au Lac",,"Perfect weekend getaway","“The Baur au Lac, internationally renowned as one of the world's top luxury hotels, an establishment steeped in over 175 years of tradition, has been owned by the same family for six generations. Being one of the world's oldest luxury hotels still in the ownership of its founding family the Baur au Lac represents modernity and progressivity at the same time. Over the last decades, some 160 million Swiss francs have been invested in new facilities and renovations at the Baur au Lac.”"
"Baur au Lac",,"Quick stop - amazing place","We stopped over for a short stay and we’re just amazed by the quality of services and the generous rooms. Also a stop at the Baurs restaurant did not disappoint. Recommend to everyone even on a short Weekend stay- real relief and beautiful environment during these challenging times. "
"Baur au Lac",,"Great hotel","Loved the hotel. Very nice decor and appeal to it when you enter. The rooms are simple and elegant. Very antique feel to it. Overall a good vibe. Recommended stay in Zurich. You can explore the city easily and close to public transport "
"Baur au Lac",,"Magical stay within Zurich City","I have visited the Baur au Lac many times, mostly for drinks or lunch, but this time, I stayed for a night and I have to say: even more marvelous. The staff is super friendly, they try to have your wishes ready before you even know you'd like to wish for it. From the hotel rooms to the dining possibilities within the whole hotel: it feels like a little trip to wonderland but once you step outside, you're in midst of the busy Zurich city and you can easily visit nearby cafés, restaurants, museums or just enjoy the beautiful view over Lake Zurich."
"Baur au Lac",,"Snobby","A good place to share a Tea or to have a lunch, unfortunate is the attention at the desk in the Lobby, as we arrived, we asked to make a reservation for a typical Afternoon tea and a second reservation for a lunch at Baur’s a separate day. The attention was quite annoying, the negative attitude of the head waiter for the booking left me with no grace to reserve, “no place we are fully booked for the month, we requested any day to reserve as we were flexible. No chance.. But my surprise was that minutes later, making the same request by phone, we got a table in the lobby for the Tea one day and for the requested a table for 4 at Bauer’s. The Tea service a classic in the Lobby was excellent, service and attention unique, for the Lunch at Bauer’s we really enjoy the service the"
"Baur au Lac",,"Spontaneous dinner","Amazing night there! The quality in general is awesome ; service, drinks, food, the atmosphere, don't forget to have a sit on the couch in the fumoir and taste some delicious cigare with a good spirit. Chill and fancy. Delicious and tasty. Go for it!"
"Baur au Lac",,"Lunch at the Brasserie","I would like to send you a new review about the Baur au lac in Zurich! We had yesterday the 24th of October 2020 lunch with friends in the Brasserie of the hotel mentioned above. They have renovated the restaurant and it did turn out very, very beautiful. The food and service was absolutely excellent. The only thing they still have to work on is there BABA ou RUM it is not very good, the pastry 🥮 was far to try. We thought the cook did keep the Rum for himself. With my very best regards Mrs. C. Steiger - Maldaque"
"Baur au Lac",,"Best of the best in Zurich","It's such a beautiful hotel, my personal favourite in Zurich! The rooms are spacious, elegant and just fabulous. Breakfast in that lovely pavillon is always a highlight, even if currently no buffet can be offered, the variety is large and the service is fast - really enjoyable. The staff members were super charming, from the friendly receptionist upon arrival to the lovely lady taking care of my order at breakfast, it's an amazing service. Unfortunately nobody has a name tag but they are all great ambassadors of true luxury service."
"Baur au Lac",,"Ultimate Grand Style & Luxury","Swiss hotel standards have diminished over the years as standards of service have become worse and worse. But at Baur au Lac it is family run, and it shows. The cuisine at the Terrasse is modern and fitting to the most spectacular garden that faces the lake. The garden has two most magnificent trees, one Japanese Ginko planted over a hundred years ago, and the other is just as impressive. Facing the lake the garden has an art in the park sculpture is awesome. The suite I stayed had the charm and modern luxury with a fantastic shower and bathroom area. The bed is impeccable and the overall impression is grand elegance and luxury in the centre if the city."
"Baur au Lac",,"Phenomenal","BS’D Tremendously elegant & luxurious I give you now names the kindest souls forgive me for forgetting anyone Natalie ~ Reception Jeremie ~ concierge Stefanie ~ receoption Anja ~ Reception Hicham ~ Voiturier Kindly praise tremendous asset to the success Thank you in advance Kindest blessings Raphael"
"Baur au Lac",,"The Garden","We had a short stay with family. We felt particularly well taken care of in these difficult COVID times. Having a garden in the middle of the city was a huge plus and the staff was caring and personable. We liked the food choices and especially the very attentive breakfast. "
"Baur au Lac",,"True Palace Hotel style. Unbeatable service and central location","Don't know of any other hotel open to the public since 175 years. That is certainly a distinctive tag, but what is really remarkable is the incomparable service, with extremely well trained and cheering staff. Food is above any standard in terms of quality and fresh ingredients, atmosphere is what one can dream about when thinking on those belle epoque times when luxury hotels were measured by how comfortable they were able to make guests feel. Being within short walking distance to any point in central Zurich is an added value to all those others great details."
"Baur au Lac",,"Impeccable service, amazing hotel and location","Do not stay anywhere else in Zurich but Baur Au Lac! We were here for one night for our wedding anniversary and we were upgraded to a suite with a lake view balcony. Absolutely stunning! We sat on the lawn terrace for drinks and since the room was so nice, we ordered room service and had the Wagyu burgers- best burger and fries I have ever had. The service was very good- everyone was very polite and friendly. Top notch hotel and they know how to treat their guests. I only have good things to say about this hotel, the people who work there, the service, the atmosphere and the food. Thank you for giving us an amazing stay. Definitely 5-star worthy."
"Baur au Lac",,"Just Right","A great old hotel with large , comfortable rooms and friendly staff. Located right near Zurich’s main retail street of Bahnhofstrasse walking from this hotel means everything is within easy reach. Can’t pick any faults with this one."
"Baur au Lac",,"Exhilarating Afternoon Tea at Le Halls","The Afternoon Tea at the Le Halls, Baur au Lac was extremely refreshing and wonderful. We were supposed to meet our business associates for tea and they chose this enchanting place. It was a relaxing experience . The service is excellent and the cakes and scones are lovely. Their honey is a "" must try"" because it is harvested from a bee hive in their garden. My special compliment to Ms Antonio who patiently explains the different types of pastries and sandwiches to us. Her cheerfulness and enthusiasm adds more excitement to the afternoon tea . I will definitely do it again the next time I visit Zurich."
"Baur au Lac",,"Grand Hotel","Treat yourself to a stay at Baur au Lac. The hotel is perfectly located on the lake and you can easily walk to countless restaurants and sights. We walked to and from the main train station on a couple of occasions and it's only about 10-15 minutes walk and very scenic. The staff are attentive, the service is excellent and a bit old fashioned (in a GOOD way). We stayed in a junior suite with a balcony overlooking the canal and down toward the lake. Some rooms overlook the hotel's private gardens/park and toward the lake, which must be lovely, too. Our room was beautifully appointed, impeccably clean and spacious. The bathroom in particular felt very luxurious. The minibar is free, which is such a nice touch in a luxury hotel. We had drinks in the restaurant and coffee in"
"Baur au Lac",,"Great service and great food!","We stayed two nights in Baur au Lac with family. It was a pleasant welcome from the entrance and guided through the room. Nice atmosphere and convenient location. We came back to the hotel very late which the restaurants were closed and we were too tired to go out. We ordered Bolognese pasta with some snacks. This simple dish was so tasty. We had the best Bolognese ever and the children keep on talking about it. Thank you for the experience. We will be back!"
"Baur au Lac",,"Room For Improvement...sadly, this hotel is losing its crown","The Buar Au Lac is one of those city hotels that is known throughout Switzerland: its position on the lake front, just two hops from the Bahnhofstrasse, is hard to fault. However the service and guest reception has slipped badly. Arriving on 25th, I was greeted by Florence and Nina and we had the standard discussion (which seems to be de rigeur in luxury hotels today),where the receptionists insist they have to pre-authorise CH200.00 per day on my credit card [for ""Extras""] and the whole cost of the stay. I explain that my credit card has a limit and will 'block' if more than a certain amount is put through each day. Florence stares glassily at me. I ask her to check how many visits I have made to the hotel and whether I have always paid my account. She agrees that I have"
"Baur au Lac",,"Some of the best service in the world","I stayed for a short business trip at the Baur au Lac and I was reminded that across the board in every position the service in this hotel is superb--the doorman, the reception, the concierge, the restaurant staff. Basically, it is the most warm, flawless service anywhere. At the last minute they arranged for an early check in and also a hair salon appointment. They came upstairs immediately when I had a computer issue which I managed to solve as they arrived--but the response was immediate. The buffet breakfast is a dream and the service wonderful and they indulged me in speaking German. The hotel is also beautiful--the public areas (love the pavilion restaurant) and the rooms and the location is close to everything and great for running. This hotel is just special."
"Baur au Lac",,"New Year’s Eve","We spent the final night of our 16 day European holiday at Baur au Lac. I highly recommend booking transfers through the hotel because we absolutely loved our driver. The Mercedes S Class pick-up and the Rolls Royce airport drop-off were both seamless. Upon arrival at the hotel, we were warmly welcomed and shown to our room. For my birthday, they had a cute chocolate cake set up in our room, which was a nice touch. Having come from staying in a spectacular suite at the Four Seasons Florence, the room at Baur au Lac was just OK. The room was small and a bit dated, as was the bathroom. For the price point, the room was a disappointment. Service was outstanding. Mr. von Rechenberg was a wonderful and welcoming host throughout our stay. He is a true asset to Baur au Lac. "
"Baur au Lac",,"Baur au Lac","One of the Luxury Collection Hotels, Baur au Lac lives up to its reputation. The hotel opened in 1844 and is still owned by the original family (6th generation). The rooms are immaculate. They offer a pillow menu, free stocked mini bar and their bath essentials (shampoo etc) are LaBottega products. The Christmas decorations and chocolate treats I found in my room daily put me in the festive mood. The location is ideal for sightseeing, shopping and Lake Zurich. All is within walking distance. Pavilion Restaurant is on site with two star Michelin Chef Laurent Eperon. If you wish to have dinner there make reservations in advance. The dinner is a culinary adventure of taste. "
"Baur au Lac",,"Perfect hotel","Nice reception by the bell captain. Lovely quiet room, though far to get there. Wonderful Pavillon restaurant, stupendous food and service. Nice breakfast buffet. Good location. Nice lobby with a beautiful Christmas tree."
"Baur au Lac",,"Top Zurich Hotel","The Baur au Lac is a truly world-class five star property. No detail is overlooked by the magnific staff who look after every detail to ensure you have a pleasant and comfortable stay. Truly make you feel at home every time. The food is fantastic and room service is reliable; Baur’s is excellent. And the concierge staff are truly the crown jewel of this property; Jeremie and his colleagues will ensure your every whim is addressed. "
"Baur au Lac",,"Zürich’s Grand White Lady","Compared to so many other 5* hotels, the Baur au Lac, always lived up to the most critical of expectations. We have stayed at this hotel for over more than a decade. The hotel never got ‘tired’ and rooms are regularly up-dated and fresh without losing its timeless elegance that you have become accumstomed to. We liked the refurbishment of the corner-suite. All is like new, yet the style is maintained. Service and politeness of staff is world class. This hotel is not your cheapest choise - luxury has got its price."
"Baur au Lac",,"Top of the game","We passed by this stunning property on a last minute road trip to Zurich! And what a place it is. From the moment you enter you are transformed back in time to the grandeur of the good old times. The hotel is meticulous from top to bottom. Parts have been newly renovated such as the brasserie and the bar. Rooms are beautiful and perfectly maintained. At the bar, Negroni is amazing and the service from its team (young Italian gentleman, couldn’t get the name) was personalized, welcoming and excellent. David, overseeing the food and beverage, was amazing and what made me write this review! A true hospitality person and amazing host! Happy and looking forward to come back at some point. "
"Baur au Lac",,"Beautiful Baur au lac","I had the luxury of staying here for 2 nights during the film festival and can tell you it is perfection Everything at the hotel is amazing STAFF ( Sarah at breakfast) Concierge Reception Rooms Gym Food Bars Can't wait to go back next year It's so incredible and in a great area close to the great shops and lake Check it out "
"Baur au Lac",,"The fifth star fell off","This is a great hotel, probably the best in Zurich, on this trip it wasn’t its usual five star deluxe hotel. Too many things went wrong. Housekeeping, breakfast, coffee lounge etc. Management need to sharpen their pencils and watch out... Other guests shared similar complaints. Love this place and don’t want to see it go down. I love their new addition Baur’s restaurant."
"Baur au Lac",,"We will return","This was a very fleeting stay en route to Luzern with my mum. Great location by lake with beautiful terrace. The hotel is very exquisite and all staff were friendly and professional....sadly stay was far too short ... we will return and will book a room with a view next time "
"Baur au Lac",,"Not quite perfect","I have always been a fan of this stately Swiss hotel. The position besides the lake is just perfect and the terrace is the nicest place I know in Zurich for a drink on a summer’s evening. The staff are always charming and the rooms super comfortable. The tablets in the rooms through which one can order room service are a great innovation. So this morning’s breakfast was a surprise - the toast was burnt, the cappuccino was tepid and the birchermuesli was (at least to my taste) far too sweet. Ah well, we all have off days."
"Baur au Lac",,"One of the best hotels in Switzerland","Had the most decadent, opulent and luxurious stay here for a week and wished it would have been for longer. We are definitely returning again soon and I cannot wait. Thank you so much for making our stay a truly memorable experience."
"Baur au Lac",,"A superb hotel with wonderfully friendly and helpful staff.","Nice sized room, spotlessly clean. Very comfortable. Hotel is walking distance to main shopping street and lake ferry terminal. Be sure to dine at their two starred restaurant, Pavillion. Buffet breakfast excellent. Highly recommended."
"Baur au Lac",,"Best Hotel in Europe","I would say best 5 star hotel in Europe stayed 3 days with my mum in Zurich July 29th to 31st and decided this time stay in Baur au Lac and I would say bene the best ever ,in terms of rooms , staff , service, location ,luxury ,architect , culture , atmosphere ,food ,business centre ,gym ..... I have been to different nice hotels for business and pleasure the strip to Europe and in the past but never been impressed this much , I highly recommend this hotel , Front office supervisor Leuza ,concierge. restaurant staff ,all were the best ."
"Baur au Lac",,"Business and Pleasure Stay with Baur au Lac","My husband, Zach, was traveling to Zurich for work for a week and I joined him to relax and enjoy the city and we chose to stay at the lovely Baur au Lac, which I would recommend to anyone. This hotel is absolutely beautiful with unique artwork and perfect service. Multiple dining options, all of which are fabulous. There's a very detailed and updated workout facility on the top floor that I utilized every day. The proximity of the hotel to the city center couldn't be more convenient. It is quiet but right in the middle of Zurich. We loved it here and are looking forward to going back!"
"Baur au Lac",,"Lovely food and location","Quite a relaxed place to eat but also formal. The waiting staff were excellent and the food superb. I had a light lunch of gazpacho and lemon sorbet which was excellent. It's obviously quite expensive but I'd go back there anytime."
"Baur au Lac",,"Wonderful girlfriends lunch in the Hall","It is indeed a while ago, actually before summer, yet still an unforgettable lunch. I come sometimes with a few friends for teatime, but this time, as it was too early for tea and we felt rather hungry, we decided spontaneously for lunch and - we had a wonderful and unforgettable time at the Baur au Lac. Like with every visit, there is always a person, who stands out - this time it was a young lady, named Sara, who was very professional yet friendly and knew our wishes without having to ask. Due to her very welcoming and naturally professional service, this lunch was one of our finest we ever had in Zurich. Many thanks to Sara and the rest of the team. Diane B."
"Baur au Lac",,"Superb Hotel","Visited Zurich and stayed in this classy hotel by the end of June 2019, From the warm welcome upon arrival,check in process, restaurant services, room cleanliness until the time of our departure, the service are exceptional!! The front office and concierge team are very helpful. Thanks for making this stay memorable.."
"Baur au Lac",,"On the lake, very lush, with great staff","The Baur au Lac is chic, but not too chic - there are a few tourgroups here. Our deluxe room was small and would have annoyed us if it wasn't for one night only. The indoor lounge is pleasant for lunch or drinks, the outdoor dining outstanding fun looking at the garden and the lake if you have booked before - but the service is slow...."
