title,content,
It doesn't get much better than this...,"Such a delight to see how the Management has succeeded in making a traditional hotel into somewhere that fits modern times. We were expecting to stay in the 'Grand Hotel Budapest' but could not have been more wrong The rooms are spotlessly clean; staff understand the requirements of their guests and could not have been more helpful; the food is top notch. All in all, one of the finest hotels in Switzerland and a credit to the Management and owners",
wonderful,"one of the most beautiful hotels in the world. we had a perfect junior suite with lake view. pool area was a bit crowded due to the great weather but service was perfect. spa is amazing, too. only minus was that the breakfastcrew seems to prefer outside guests over houseguests as they offer them the best (available) tables on the terrasse while houseguests were shown tables in the windy inside.",
Fine feathers do not always make fine birds!,"This Grand Hotel of great history, that I used to visit years ago , seems to be sleeping on the glorious of the past! Bad service and mismanagement unfortunately encountered on many parts of the hotel. Here only two of them lived a day ago: Several seats were available at the garden terrace facing the lobby. 3 friendly people sitting there invited me to their table and to take one of the armchairs next to them, which I did . Comes the waitress asking if I was with these 3 people, which of course I denied being alone. Here upon the waitress argued that then she could not serve me as the management requests only one bill per table , even if like here there obviously were seats for minimum 6 personnes and we were 3 + 1. At this moment the 3 friendly persons argued not accepting",
Staff too busy to serve us the dessert part of afternoon tea,"In April 2019 we celebrated my son’s 1st birthday at this luxury hotel. We chose Beau Rivage because it’s the one place we frequently visited in the 1st year of my son’s life and we felt it symbolised a lot of the fun memories we’d had when we became a family of four. The frequent visits were to the spa where my other child took private swimming lessons each Saturday. So on the happy occassion of the birthday we booked a table for 6 (incl 2 children) for the afternoon tea menue. I had also specially ordered for a theme cake fir which I had exchanged several e-mails with the hotel staff. While the hotel itself is beautiful decor wise with an amazing view over lake Geneva, on this occassion I didn’t feel that the service matched the high-end ambience of the hotel. The staff was",
Ne plus ultra,"A very lovely stay - stellar property in 10 acres of private gardens, can-do staff without exception (special thanks to Christine, a future GM), spectacular restaurants (La Terrasse and Cafe Beau-Rivage were exemplary) and a wonderful sense of place and wellbeing. The additional flourishes for Christmas and the festive season (horse riding, carousel, marshmallow roasting) were rather nice. All eyes on the new leisure offering planned for later this year - there is the potential to make this unbeatable.",
BEST Breakfast Buffet in Lausanne!,"Healthy, delicious, variety and amazing breakfast items ever! The view while having breakfast is breathtaking!!!! The room is very spacious, super clean and loved the tv in the bathroom miror. what an experience...will never forget it! Can't wait to visit again :)",
Must be the world's best kept secret!,"The Hotel is absolutely outstanding! Everything about it oozes luxury and elegance, without a trace of ostentation! From the minute you walk into the Reception, you are seized by the splendour and beauty of this 5* property! The service, be it at the Front Desk or in the Restaurants, is courteous, friendly, discreet and attentive! The Miyako (Japanese) Restaurant is superb, the breakfast buffet at Café Beau-Rivage is bountiful, with plenty of fresh fruit, a delicious Birchermuesli, and hot dishes, which can also be ordered à-la-carte! As far as Rooms are concerned, I highly recommend paying the extra to have a Deluxe Room overlooking the Lake and the Alps or a Junior Suite with a balcony! The view is absolutely breathtaking! The Christmas decorations are stunning! A 2nd",
Memories for the rest of our lifes.,"Although we went to the Beau Rivage Palace for a conference it was also the birthday of my little daughter and the entire Team but especially the Reception made this day very memorable. The warm words, appreciation and always a smile for the little ones are making also the parents happy. Of course we enjoyed the beautiful Room very much and the breathtaking views! Unfortunatly Pool was closed, but there was a lot of other things to enjoy. Thank you",
Want to try a hotel that is more than 5 stars? This is it.,"Many grand older hotels in Europe look a bit shabby and tired. Too much public space to maintain, to much garden. They cannot keep it all up. Not this hotel. It is in superb condition. We had a lake view room with a balcony, essential. In the new wing which I think is preferable. The bathroom was big, beautiful and the whole room blended a traditional look with lots of fun electronics including a second TV in the bathroom mirror. Breakfast was excellent. I was there for the world triathlon championships and kept my bike in the room and wheeled it out each day through the fancy lobby. No complaints. Staff were super attentive and REALLY helpful. nothing was too much trouble. The hotel is full of historical photos and shows how the rich and famous stayed there and important",
World Class Hotel,"Wife and I stayed here in July, and I highly recommend it. It kind of reminds me of a European version of the Four Seasons in Austin, which is my favorite American hotel, in that it has a sprawling backyard and pool area overlooking the lake. A lot of hotels like this will have the grand palace facade but lack modern amenities and comforts--this one was clearly renovated recently and does not suffer from that. We had a lake view king, and it was well worth the upgrade.",
Definition of Swiss Hotel Perfection!,This has to be one of our all time favorite hotels in the world . We go back every year and it never fails. THe service is extremely professional efficient and very friendly. The hotel oozes with quality and 1st class all the way. All the restaurants and bars are amazing and you will be spoilt for choice. Amazing breakfast... just watch out for the birds! Top pick is the female chef 2 star Michelin Anne Sophie PIC. The Brasserie is super ! The Japanese restaurant is very authentic and the black cod here is better than Nobu. The bar has the best trained baristas serving the best cocktails. The pool and garden is spectacular. Just one comment and advice to the management that the spa (cinque monde) is well over due for a full renovation and expansion. It’s very tired and not,
Everything a Top Hotel Should Be -- And More!,"The Beau Rivage Palace is a beautiful old-world hotel at the edge of Lac Leman in the Ouchy section of Lausanne. The views of the lake and Alps are stunning and what make the location special, so even though those rooms are more costly, they are worth it. Once you're paying this much for a hotel, just splurge a bit more for the view. Our room oozed sophisticated elegance and the huge bathroom with its vaulted ceiling, perfect lighting and mirrors everywhere was truly beautiful. But the piece de resistance was the sliding doors above the bathtub that opened to look across the room, out the balcony and at the Alps! Housekeeping was impeccable and the service overall is as top notch as the location. Everyone from the woman that took our reservation originally (and put up with",
Almost impossible to find fault with the Palace,"To find fault is very difficult...but I managed...the mirror steams up in the bath room if you run your Jacuzzi tub too long! The solution would be heating a small segment of the mirror to keep it clear. The Reception will provide complimentary passes for the Metro & buses. We took the Metro up 7 stops to the Old Town of a look-about and walked back down. Not for the faint-of-wallet so enjoy your stay, you deserve it.",
Top chick and elegance there,"Reception and all ground level looks like kings palace.Rooms are elegantly and tastefully decorated. Unless this hotel was built 1861, newest electronics and bath equipment are installed. Impeccable cleanness everywhere. Breakfast buffet is rich and service personnel very efficient. Well, prices are very high , but it is worth to stay in this top quality hotel",
Trip to Switzerland,"We have stayed three nights in September 2019 and it was our second stay with this hotel. I don’t want to go into details and will say it shortly: hotel is absolutely wonderful in terms of location, facilities and service. Without any doubt it is the best hotel in the beautiful city of Lausanne.",
Luxury on the Lake,My family has traveled extensively throughout Europe and we typically stay at luxury hotels. This one did not disappoint! From the moment we arrived at this gorgeous hotel until the moment we left we felt pampered. The service at check-in was warm and informative. Our room (lakefront) was enormous. The bed was so comfortable we did not want to leave. The fitness center is large and well-equipped. The pool is gorgeous with a view of the lake and drinks service. We ate dinner and lunch here and the service was impeccable. I would highly recommend this hotel if you are visiting Lausanne.,
Wonderful Concierge,We stayed 6 nights at this hotel during the World Triathlon Olympic distance championships. The hotel was wonderful and perfectly located for all the racing activity as well as for catching a boat ride around to different towns along Lake Léman with rail connections from there to beautiful alpine areas of Switzerland. While there we had a miscommunication with housekeeping due to the mini fridge not really being cold enough for my wife’s eye medication and we having to keep it in a bucket of ice which they took away along with all the medication. Fortunately Alan our concierge worked diligently to help us find a pharmacy and get the meds replaced. Alan was more than helpful at every turn. He turned what could have been a very bad experience into a good memory. Hotels are only as,
Intimate wedding ceremony,"I’ll like to thanks Mathias & his team to make our wedding ceremony very nice & special. Not only place is amazing, really appropriate for this type of event, quality of diner as expected, team was also professional & so kind they succeeded to found music for diner getting speaker from others waiters. Big thanks to all the team for this great moment. Jérôme ",
Nice gardens! But it left me with a bitter taste...,"I stayed here in August 2019 for two nights in a superior room. The main reason to stay here was due their nice outdoor pool area compared to e.g. the Lausanne Palace or other hotels I looked at before my booking. As I've asked for a balcony they upgraded me to a partly lake view, which was highly appreciated. However, it was a bit strange that the access to my room, which was on the 6th floor, was by accessing an emergency exit door on the 5th floor to take the steps from their. There would also have been an elevator on the emergency exit staircase, but it was out of order on the second day of my stay. The hotel has an impressive history and it is a very fine house. As it is so huge it is a huge undertaking to keep everything in order. They try hard, but there are still some",
Spectacular Hotel and Superb Service!,"We have traveled the world and we can report that the Beau Rivage is a very special place. From the moment you walk in the lobby, you are treated as if you are the only guest by the remarkable staff. I could write a short story about the hotel's fantastic amenities, it's wonderful restaurants, or our luxurious lake view room, but instead I am going to focus on the hotels' amazing concierge staff. Without question, the concierge team were the most knowledgeable, helpful and kind people that we have experienced in 50 years of travel. They happily arranged for luxury cars to be delivered to the hotel for our day trips to Annecy, Gruyere and the wine country. In every case, their service included easy directions, wonderful scenic stops, recommended wineries and fabulous",
"Location, Location, Location","The views are incomparable across Lake Geneva. The rooms in the remodeled side are spectactular. The service is also impressive. The food is a little pretentious, but it is Switzerland! The grounds are incredibly well maintained.",
Belle Époque Gem with Impeccable Service,"We stayed in a Junior Suite in the newly renovated Palace Wing. The living area and bedroom are comfortable and spacious with spectacular view of Lake Geneva. The architecture of the historic hotel is a Belle Époque gem in itself set in beautiful grounds. The service was impeccable. Food was excellent both at breakfast and the Cafe Beau-Rivage. Great spa with nice indoor and outdoor pool. Truly one of the best hotels in Switzerland, if not the world. ",
Went Once And Never Considered Another Hotel in Lausanne,"I have just returned from my third stay at the Beau-Rivage Palace Hotel. I had such a delightful experience the first time I went a second time which convinced me to go back a third dime and I now have no intention of even trying another hotel in Lausanne, although my friends have recommended others which they say are of a similar quality. The hotel is located right off the lake and if you get a lake view you'll see the mountains as well. Absolutely stunning. From the moment you arrive at this quiet tucked away place, you are greeted by friendly Bellmen. This continues at the Front Desk which check-in is always efficient. The foyer is comfortable with a high ceiling and a nice floral scent always pervades the hotel. There are many dining choices and I've tried them all. Each",
Amazing stay!,"We stayed here for the Montreux Jazz Festival in July 2019. We had a suite with direct view of Lake Geneva, the view is astonishing! The spa has everything you expect from a 5 star hotel and the service overall was quite pleasant. The location of the hotel is perfect to walk around Lausanne and a short train ride to Montreux. Highly recommended!",
Very Good- But Expensive,"I went there with my mum for a massage. Everything went great. The place is great, the staff is great. The pool is great. Although I did almost slip and die on the wet tile floor with my slippers, but I caught myself in time. Honestly, it was like a dream. The only two things that weren’t great were: 1. The price. I get that you get what you pay for, but I come on... 2. In the Pool, kids are allowed. Now, believe me, I have nothing against kids, but when you just wanna relax, they will make you do the opposite. And it’s cute, two toddlers playing with their mom and dad, but they should have a pool for families and a pool for people who wanna relax. And they should be able to do it with the money we pay them!",
An Oasis of zenitude and bliss!,"Must be Switzerland's best-kept secret! From the minute you set a foot in the Lobby to the minute you go down the steps of the Hotel's main entrance, you feel like ""royalty""! The exterior and interior of the 2-building Hotel are grand, part of the Swiss heritage, stylish or contemporary. The Hotel is set well away from the street below amongst a lush garden, with plants, flowerbeds and English lawns. The guestroom corridors of the new building are in shades of grey and pale purple. The Rooms facing the lake offer a stunning view of the Lake and mountains. The choice of Restaurants is enormous and caters to all tastes & all budgets: Anne-Sophie Pic (world famous & locally 2-star Michelin rated), Miyako (excellent Japanese food!), L'Accademia (Italian food at its best!), 57°",
Absolutely delightful,"We spent 4 nights on the 4th floor with Lake view room. Just gorgeous. The room was lovely and the brunch was fabulous. The decor and furnishings were superb. We loved all the amenities and the service was great. The complimentary electric boat was amazing. The chess, tennis and playground were fun to use.",
Terrible,"Checked in today, its like staying in a hostel with full or rules and regulations, sat in cafe beau rivage for juice the server said to please move to other restaurant as they only serve if you order something and told me to move to terrace despite having two rooms in the hotel, have travelled to best properties in the world never had such a terrible expirence, the funniest was spoke to concierge was somethings he told 1 or 2 things and then advised travel information of city would be able to guide you better.. Lol.. A total thumbs down",
What a building!,"I loved this hotel the moment I stepped into it. The building is just breathtaking and that’s before you start taking into account the views, which are spectacular. The staff are all very well trained and attentive without being overbearing. The bars, restaurants and grounds are all first class. It is by far the most relaxing hotel I’ve stayed in for a while. Loved it. ",
Brilliant place for stay or conference,"Although there for business conference, we found staff excellent, especially the concierge. He was able to arrange a car for us and argue on our behalf as the price quoted over the telephone was not the price when booked an hour later. Rooms were huge and food good, although the choice at Breakfast was good, not excellent, (see Bellagio at Lake Como for excellent). Go for Lake view as this will make a lot of difference. We did not try the Michigan starred restaurant but did eat at other places in the Hotel as well as other local restaurants as there was a good selection. Hotel spotless and high levels of staffing that all spoke good English. Great local walks along the lake for many miles. Large amusement and fun fair 1 mile up road and good facilities for younger children in",
Amazing hotel in an amazing location,"The entire place is a 'palace'! The building, decor, ceilings all have the wow factor. The rooms are immaculate, the food is excellent and the staff are extremely friendly. Although your stay at the hotel would be quite costly, its definitely a place to spoil yourself.",
Amazing palace,"Beautifully refurbished (great marble tastes and decorum), lovely garden and views... friendly staff, top food and good bars with terrasse ... Nice sport facilities (gym and tennis) and very relaxing spa. Quite hard to find any negative really (the key holder may be a bit heavy? The old elevator to go down to the spa may do with a refurbishment?)",
Great place,"Located in the most beautiful area of Lausanne, facing lake Geneva and the French/Swiss alps just across the lake. It’s a postcard view. The building is superb, both from the outside as well as inside. The food in the various restaurants is also top notch. The service has some room for improvement considering the context and the segment this hotel is positioned. Some of the personnel lack experience and the touch you’d expect in a top class/ top price hotel.",
Amazing experience!!,"All the bells and whistles at this luxury hotel. Combined with dedicated, discreet service. Rooms were spacious and beautifully maintained and any special requests were met quickly and with a smile. Would definitely return!!",
Beau- Rivage PALACE,"Stunning Hotel, friendly staff and fantastic location for both business and pleasure I had a wonderful experience at the Beau-Rivage Palace. Thank you for your warm welcome and prompt services, I will be returning with my family.",
Beautiful inside and out,5 star hotel that caters to all your needs. Our room was spacious and had a great view of the lake. Turn down bed service every night. the ONLY thing I could say they need is to get some USB outlets somewhere in the room.,
Business stay,"Part of a Corporate event. Stayed 4 nights Amazing location and views. The staff went above and beyond. Every detail is maintained and managed expertly. Strongly recommend. Bed like a dream, plenty of room and storage.",
Beau Rivage Beauty,"We spent a wonderful week at the Beau Rivage Palace and had an incredible time. The Hotel is amazing, staff were fantastic. They really pay attention to detail and go the extra mile to make your stay wonderful. We especially enjoyed Vivien, Athena and the other gentleman whose name escapes me. They really made each night special. Spending time letting us know about Lausanne and ideas on what to do. They make amazing cocktails and watching them craft each one was great. The Room Service staff and Housekeeping were superb. Thank you for your care. I have never had room service show up promptly with the food perfectly cooked and hot on time. Impeccable. Now for the view it is breathtaking! You cannot go wrong with a stay at Beau Rivage Palace. A true 5 star hotel! Oh say hello to",
A very beautiful place to stay and relax.,Visited for an exciting summit where over 400 global business leaders attended. The customer service experience was interesting . The hotel over looking the river is so beautiful . There is something about this hotel...smile.,
The Absolute Best,"I spent a few nights at this hotel recently as part of a group for a corporate event. This hotel is beyond 5 star. It is by far the nicest hotel I have ever stayed in, and I have stayed in some very beautiful hotels. Everything about this hotel is top notch. The service is award winning. It is well worth the money, in my opinion. The location and view of Lake Geneva is magnificent. I enjoyed every moment of my stay. ",
One of Europe’s Great Hotels,"This hotel, with it’s late 19th century grandeur, outstanding service, and beautiful grounds really gives you a feel for how old world European travel must have felt. We had a beautiful lake view room with balcony, fireplace, and couches. The location is perfect as well - a 5 min walk from the Ouchy Metro and across from the ferry terminal.",
Wonderful hotel,"This is a wonderful hotel situated on Lake Geneva. The rooms, although not large, are beautifully decorated with some very nice features. The bathroom is perfect. Although this hotel doesn’t come cheap, the enchanting view of the lake made the cost worthwhile. The staff in all areas were polite, helpful and couldn’t do enough for us. The breakfast choice is vast and served in a beautiful curved glass room. The location of the hotel is perfect for the Olympic museum and Metro. To be recommended for a special occasion or short break.",
